pathway	pval	padj	log2err	ES	NES	size	leadingEdge	adjPvalue
KEGG_MEDICUS_REFERENCE_IL1_IL1R_P38_SIGNALING_PATHWAY	0.0681458003169572	0.38088492029421	0.216542836735348	0.531772124534431	1.46628692877655	17	IL1R1;MAP2K3;ZFP36;IL1B;MAP2K6;IL1RAP;MYD88;TAB1;IL1A;MAPK14;TAB2;IRAK4	non-significant
KEGG_MEDICUS_REFERENCE_ESTABLISHMENT_OF_COHESION	0.0569948186528497	0.365839243498818	0.248911114434702	0.720104055441933	1.46546450159201	6	CDCA5;PDS5B;STAG1;STAG2	non-significant
KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_PERK_ATF4_SIGNALING_PATHWAY	0.0621761658031088	0.373660646913829	0.237793834423688	0.716443758117153	1.45801552841348	6	ATF4;EIF2AK3;EIF2S1;DDIT3	non-significant
KEGG_MEDICUS_REFERENCE_TLR7_9_IRF7_SIGNALING_PATHWAY	0.0646687697160883	0.377641211832629	0.222056046145248	0.551128919939271	1.45708939742965	15	IFNA10;IRF7;TLR9;IFNA21;IFNA5;IFNA2;MYD88;IFNA8;IFNA6;TLR7;IFNA16;IFNB1;IFNA4;IRAK4	non-significant
KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_NFY_MEDIATED_TRANSCRIPTION	0.0668789808917197	0.38088492029421	0.219250346703755	0.571220299129975	1.45590226663286	13	HLA-DRB1;HLA-DQB1;HLA-DOB;HLA-DRA;HLA-DMB;HLA-DRB5;HLA-DPB1;HLA-DMA;HLA-DPA1	non-significant
KEGG_MEDICUS_REFERENCE_AHR_SIGNALING_PATHWAY	0.0701168614357262	0.38088492029421	0.219250346703755	0.654247103419407	1.45345040531157	8	VEGFA;IL6;PTGS2;AHR;IL22;CYP1A1	non-significant
KEGG_MEDICUS_REFERENCE_CASR_PTH_SIGNALING_PATHWAY	0.07426597582038	0.389238232123608	0.216542836735348	0.677745377101889	1.45258466725221	7	PLCB4;PLCB1;CASR;PTH;PLCB3	non-significant
KEGG_MEDICUS_REFERENCE_HIF_1_SIGNALING_PATHWAY	0.0662251655629139	0.38088492029421	0.224966093540314	0.631687121708112	1.44016631754399	9	HIF1A;TGFB2;VEGFA	non-significant
KEGG_MEDICUS_REFERENCE_MODIFYING_OF_CONDENSIN_II_SUBUNITS	0.075993091537133	0.389238232123608	0.213927855492356	0.705939674433027	1.43663894867544	6	CDK1;NCAPG2;AURKB;PLK1;NCAPH2	non-significant
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SPTBN2_TO_MGLUR1_TRPC3_SIGNALING_PATHWAY	0.0701468189233279	0.38088492029421	0.216542836735348	0.614248516257065	1.4340372268843	10	PLCB4;PLCB1;SPTBN2;GRM1;PLCB3;ITPR3	non-significant
